304;332e18;\xf0\x0f\xb1\x0a;lock cmpxchg dword ptr [edx], ecx
305;332e1c;\x89\x45\xf8;mov dword ptr [ebp-0x8], eax
306;332e1f;\x83\x7d\xf8\x00;cmp dword ptr [ebp-0x8], 0x0
307;332e23;\x74\x0e;jz 0x332e33
308;332e33;\x32\xc0;xor al, al
309;332e35;\x8b\xe5;mov esp, ebp
310;332e37;\x5d;pop ebp
311;332e38;\xc3;ret 
312;331edb;\x88\x45\xe6;mov byte ptr [ebp-0x1a], al
313;331ede;\x83\x3d\x58\x91\x33\x00\x01;cmp dword ptr [0x339158], 0x1
314;331ee5;\x75\x09;jnz 0x331ef0
315;331ef0;\x83\x3d\x58\x91\x33\x00\x00;cmp dword ptr [0x339158], 0x0
316;331ef7;\x75\x54;jnz 0x331f4d
317;331ef9;\xc7\x05\x58\x91\x33\x00\x01\x00\x00\x00;mov dword ptr [0x339158], 0x1
318;331f03;\x68\x18\x66\x33\x00;push 0x336618
319;331f08;\x68\x0c\x63\x33\x00;push 0x33630c
320;331f0d;\xe8\x75\xf1\xff\xff;call 0x331087
321;331087;\xe9\x6e\x3d\x00\x00;jmp 0x334dfa
322;334dfa;\xff\x25\x38\xa1\x33\x00;jmp dword ptr [0x33a138]
323;331d40;\x55;push ebp
324;331d41;\x8b\xec;mov ebp, esp
325;331d43;\x56;push esi
326;331d44;\xe8\x5c\xf3\xff\xff;call 0x3310a5
327;3310a5;\xe9\x86\x10\x00\x00;jmp 0x332130
328;332130;\x55;push ebp
329;332131;\x8b\xec;mov ebp, esp
330;332133;\xb8\x01\x00\x00\x00;mov eax, 0x1
331;332138;\x5d;pop ebp
332;332139;\xc3;ret 
333;331d49;\x50;push eax
334;331d4a;\xe8\x69\xf4\xff\xff;call 0x3311b8
335;3311b8;\xe9\x19\x3c\x00\x00;jmp 0x334dd6
336;334dd6;\xff\x25\x50\xa1\x33\x00;jmp dword ptr [0x33a150]
337;331d4f;\x83\xc4\x04;add esp, 0x4
338;331d52;\xe8\xf1\xf5\xff\xff;call 0x331348
339;331348;\xe9\x73\x22\x00\x00;jmp 0x3335c0
340;3335c0;\x55;push ebp
341;3335c1;\x8b\xec;mov ebp, esp
342;3335c3;\xb8\x00\x40\x00\x00;mov eax, 0x4000
343;3335c8;\x5d;pop ebp
344;3335c9;\xc3;ret 
345;331d57;\x50;push eax
346;331d58;\xe8\x89\xf3\xff\xff;call 0x3310e6
347;3310e6;\xe9\x21\x3d\x00\x00;jmp 0x334e0c
348;334e0c;\xff\x25\x2c\xa1\x33\x00;jmp dword ptr [0x33a12c]
349;331d5d;\x83\xc4\x04;add esp, 0x4
350;331d60;\xe8\x09\xf3\xff\xff;call 0x33106e
351;33106e;\xe9\x3d\x25\x00\x00;jmp 0x3335b0
352;3335b0;\x55;push ebp
353;3335b1;\x8b\xec;mov ebp, esp
354;3335b3;\x33\xc0;xor eax, eax
355;3335b5;\x5d;pop ebp
356;3335b6;\xc3;ret 
357;331d65;\x8b\xf0;mov esi, eax
358;331d67;\xe8\x93\xf3\xff\xff;call 0x3310ff
359;3310ff;\xe9\x38\x3d\x00\x00;jmp 0x334e3c
360;334e3c;\xff\x25\xec\xa0\x33\x00;jmp dword ptr [0x33a0ec]
361;331d6c;\x89\x30;mov dword ptr [eax], esi
362;331d6e;\x6a\x01;push 0x1
363;331d70;\xe8\xa7\xf4\xff\xff;call 0x33121c
364;33121c;\xe9\x1f\x1e\x00\x00;jmp 0x333040
365;333040;\x55;push ebp
366;333041;\x8b\xec;mov ebp, esp
367;333043;\x83\xec\x1c;sub esp, 0x1c
368;333046;\x83\x7d\x08\x00;cmp dword ptr [ebp+0x8], 0x0
369;33304a;\x74\x0d;jz 0x333059
370;33304c;\x83\x7d\x08\x01;cmp dword ptr [ebp+0x8], 0x1
371;333050;\x74\x07;jz 0x333059
372;333059;\xe8\x01\xe0\xff\xff;call 0x33105f
373;33105f;\xe9\x9c\x38\x00\x00;jmp 0x334900
374;334900;\x55;push ebp
375;334901;\x8b\xec;mov ebp, esp
376;334903;\x51;push ecx
377;334904;\x83\x3d\x30\x90\x33\x00\x00;cmp dword ptr [0x339030], 0x0
378;33490b;\x74\x09;jz 0x334916
379;33490d;\xc7\x45\xfc\x01\x00\x00\x00;mov dword ptr [ebp-0x4], 0x1
380;334914;\xeb\x07;jmp 0x33491d
381;33491d;\x8b\x45\xfc;mov eax, dword ptr [ebp-0x4]
382;334920;\x8b\xe5;mov esp, ebp
383;334922;\x5d;pop ebp
384;334923;\xc3;ret 
385;33305e;\x85\xc0;test eax, eax
386;333060;\x74\x39;jz 0x33309b
387;333062;\x83\x7d\x08\x00;cmp dword ptr [ebp+0x8], 0x0
388;333066;\x75\x33;jnz 0x33309b
389;33309b;\x6a\xff;push 0xffffffff
390;33309d;\xe8\x4c\xe2\xff\xff;call 0x3312ee
391;3312ee;\xe9\x5d\x19\x00\x00;jmp 0x332c50
392;332c50;\x55;push ebp
393;332c51;\x8b\xec;mov ebp, esp
394;332c53;\xa1\x24\x90\x33\x00;mov eax, dword ptr [0x339024]
395;332c58;\x33\xd2;xor edx, edx
396;332c5a;\xb9\x20\x00\x00\x00;mov ecx, 0x20
397;332c5f;\xf7\xf1;div ecx
398;332c61;\xb8\x20\x00\x00\x00;mov eax, 0x20
399;332c66;\x2b\xc2;sub eax, edx
400;332c68;\x50;push eax
401;332c69;\x8b\x4d\x08;mov ecx, dword ptr [ebp+0x8]
402;332c6c;\x51;push ecx
403;332c6d;\xe8\x23\xe5\xff\xff;call 0x331195
404;331195;\xe9\xf6\x1a\x00\x00;jmp 0x332c90
405;332c90;\x55;push ebp
406;332c91;\x8b\xec;mov ebp, esp
407;332c93;\x8b\x45\x08;mov eax, dword ptr [ebp+0x8]
408;332c96;\x8b\x4d\x0c;mov ecx, dword ptr [ebp+0xc]
409;332c99;\xd3\xc8;ror eax, cl
410;332c9b;\x5d;pop ebp
411;332c9c;\xc3;ret 
412;332c72;\x83\xc4\x08;add esp, 0x8
413;332c75;\x33\x05\x24\x90\x33\x00;xor eax, dword ptr [0x339024]
414;332c7b;\x5d;pop ebp
415;332c7c;\xc3;ret 
416;3330a2;\x83\xc4\x04;add esp, 0x4
417;3330a5;\x89\x45\xfc;mov dword ptr [ebp-0x4], eax
418;3330a8;\x8b\x45\xfc;mov eax, dword ptr [ebp-0x4]
419;3330ab;\x89\x45\xf0;mov dword ptr [ebp-0x10], eax
420;3330ae;\x8b\x4d\xfc;mov ecx, dword ptr [ebp-0x4]
421;3330b1;\x89\x4d\xf4;mov dword ptr [ebp-0xc], ecx
422;3330b4;\x8b\x55\xfc;mov edx, dword ptr [ebp-0x4]
423;3330b7;\x89\x55\xf8;mov dword ptr [ebp-0x8], edx
424;3330ba;\x8b\x45\xf0;mov eax, dword ptr [ebp-0x10]
425;3330bd;\xa3\x60\x91\x33\x00;mov dword ptr [0x339160], eax
426;3330c2;\x8b\x4d\xf4;mov ecx, dword ptr [ebp-0xc]
427;3330c5;\x89\x0d\x64\x91\x33\x00;mov dword ptr [0x339164], ecx
428;3330cb;\x8b\x55\xf8;mov edx, dword ptr [ebp-0x8]
429;3330ce;\x89\x15\x68\x91\x33\x00;mov dword ptr [0x339168], edx
430;3330d4;\x8b\x45\xfc;mov eax, dword ptr [ebp-0x4]
431;3330d7;\x89\x45\xe4;mov dword ptr [ebp-0x1c], eax
432;3330da;\x8b\x4d\xfc;mov ecx, dword ptr [ebp-0x4]
433;3330dd;\x89\x4d\xe8;mov dword ptr [ebp-0x18], ecx
434;3330e0;\x8b\x55\xfc;mov edx, dword ptr [ebp-0x4]
435;3330e3;\x89\x55\xec;mov dword ptr [ebp-0x14], edx
436;3330e6;\x8b\x45\xe4;mov eax, dword ptr [ebp-0x1c]
437;3330e9;\xa3\x6c\x91\x33\x00;mov dword ptr [0x33916c], eax
438;3330ee;\x8b\x4d\xe8;mov ecx, dword ptr [ebp-0x18]
439;3330f1;\x89\x0d\x70\x91\x33\x00;mov dword ptr [0x339170], ecx
440;3330f7;\x8b\x55\xec;mov edx, dword ptr [ebp-0x14]
441;3330fa;\x89\x15\x74\x91\x33\x00;mov dword ptr [0x339174], edx
442;333100;\xb0\x01;mov al, 0x1
443;333102;\x8b\xe5;mov esp, ebp
444;333104;\x5d;pop ebp
445;333105;\xc3;ret 
446;331d75;\x83\xc4\x04;add esp, 0x4
447;331d78;\x0f\xb6\xc0;movzx eax, al
448;331d7b;\x85\xc0;test eax, eax
449;331d7d;\x75\x07;jnz 0x331d86
450;331d86;\xdb\xe2;fnclex 
451;331d88;\xe8\x40\xf3\xff\xff;call 0x3310cd
452;3310cd;\xe9\xbe\x29\x00\x00;jmp 0x333a90
453;333a90;\x56;push esi
