441;1930fa;\x89\x15\x74\x91\x19\x00;mov dword ptr [0x199174], edx
442;193100;\xb0\x01;mov al, 0x1
443;193102;\x8b\xe5;mov esp, ebp
444;193104;\x5d;pop ebp
445;193105;\xc3;ret 
446;191d75;\x83\xc4\x04;add esp, 0x4
447;191d78;\x0f\xb6\xc0;movzx eax, al
448;191d7b;\x85\xc0;test eax, eax
449;191d7d;\x75\x07;jnz 0x191d86
450;191d86;\xdb\xe2;fnclex 
451;191d88;\xe8\x40\xf3\xff\xff;call 0x1910cd
452;1910cd;\xe9\xbe\x29\x00\x00;jmp 0x193a90
453;193a90;\x56;push esi
